Word,Frequency
Love,1.0
Live,0.6216216216216216
Time,0.24324324324324326
X,0.1891891891891892
One,0.13513513513513514
Girl,0.13513513513513514
Remix,0.13513513513513514
Story,0.10810810810810811
Acoustic,0.10810810810810811
Stay,0.10810810810810811
House,0.10810810810810811
Luv,0.10810810810810811
Dream,0.10810810810810811
Never,0.10810810810810811
Rain,0.10810810810810811
Still,0.10810810810810811
Song,0.10810810810810811
なんでもないや,0.10810810810810811
Really Want,0.10810810810810811
TVアニメ 月がきれい,0.10810810810810811
Tonight,0.08108108108108109
Come,0.08108108108108109
钢琴版,0.08108108108108109
Blue,0.08108108108108109
Nothing,0.08108108108108109
U,0.08108108108108109
Think,0.08108108108108109
Call,0.08108108108108109
phone,0.08108108108108109
Will,0.08108108108108109
Dancing,0.08108108108108109
Life,0.08108108108108109
小星星,0.08108108108108109
夏天的风,0.08108108108108109
Way,0.08108108108108109
你的名字,0.08108108108108109
黄昏之时,0.08108108108108109
Bird,0.05405405405405406
Morning,0.05405405405405406
Modern,0.05405405405405406
Original,0.05405405405405406
Soundtrack,0.05405405405405406
Much,0.05405405405405406
Look,0.05405405405405406
Now,0.05405405405405406
Drama,0.05405405405405406
Theme,0.05405405405405406
Say,0.05405405405405406
Best,0.05405405405405406
Days,0.05405405405405406
Christmas,0.05405405405405406
First,0.05405405405405406
Let,0.05405405405405406
Cyberpunk,0.05405405405405406
Knew,0.05405405405405406
Lost,0.05405405405405406
Help,0.05405405405405406
Light,0.05405405405405406
Change,0.05405405405405406
machine,0.05405405405405406
Thing,0.05405405405405406
new,0.05405405405405406
Try,0.05405405405405406
Long,0.05405405405405406
Baby,0.05405405405405406
麦恩莉,0.05405405405405406
恋,0.05405405405405406
Begging,0.05405405405405406
Guide,0.05405405405405406
Perfect,0.05405405405405406
Birthday,0.05405405405405406
Night,0.05405405405405406
alone,0.05405405405405406
sleep,0.05405405405405406
Album,0.05405405405405406
Marry,0.05405405405405406
Duet,0.05405405405405406
哪里都是你,0.05405405405405406
你想要的,0.05405405405405406
Give,0.05405405405405406
Beautiful,0.05405405405405406
Heart,0.05405405405405406
Studio,0.05405405405405406
不完美小孩,0.05405405405405406
sic,0.05405405405405406
起风了,0.05405405405405406
情书,0.05405405405405406
Boo,0.05405405405405406
等你的季节,0.05405405405405406
愛にできることはまだあるかい,0.05405405405405406
movie,0.05405405405405406
三葉のテーマ,0.05405405405405406
爱爱爱,0.05405405405405406
红豆,0.05405405405405406
Miss,0.05405405405405406
岁月如歌,0.05405405405405406
天意,0.05405405405405406
你给我听好,0.05405405405405406
拥抱,0.05405405405405406
没什么大不了,0.05405405405405406
Moon,0.05405405405405406
晚安,0.05405405405405406
伤心太平洋,0.05405405405405406
有些,0.05405405405405406
故梦,0.05405405405405406
你若成风,0.05405405405405406
我想牵着你的手,0.05405405405405406
夜空中最亮的星,0.05405405405405406
Calc,0.05405405405405406
糸,0.05405405405405406
月がきれい,0.05405405405405406
苦茶,0.05405405405405406
零6,0.05405405405405406
唱得响亮,0.05405405405405406
RADWIMPS,0.05405405405405406
スパークル,0.05405405405405406
前前前世,0.05405405405405406
梦灯笼,0.05405405405405406
かたわれ時,0.05405405405405406
ひまわりの約束,0.05405405405405406
カバー,0.05405405405405406
Kiss,0.05405405405405406
空想フォレスト,0.05405405405405406
キセキ,0.05405405405405406
未来へ,0.05405405405405406
雨き声残響,0.05405405405405406
friend,0.05405405405405406
Bonus Track,0.05405405405405406
Show Goes,0.05405405405405406
aren park,0.05405405405405406
earth meal,0.05405405405405406
WANDERLUST,0.02702702702702703
Common,0.02702702702702703
Denominator,0.02702702702702703
Found,0.02702702702702703
Reason,0.02702702702702703
Guhrl,0.02702702702702703
Sunday,0.02702702702702703
Singin',0.02702702702702703
Hallelujah,0.02702702702702703
Rather,0.02702702702702703
Empty,0.02702702702702703
Apartment,0.02702702702702703
lovely,0.02702702702702703
glow,0.02702702702702703
kayla,0.02702702702702703
Loneliness,0.02702702702702703
Save,0.02702702702702703
Kale,0.02702702702702703
Motion,0.02702702702702703
Picture,0.02702702702702703
Type,0.02702702702702703
STAGEFRIGHT,0.02702702702702703
Loving,0.02702702702702703
Soon,0.02702702702702703
Chateau,0.02702702702702703
Hallway,0.02702702702702703
Weather,0.02702702702702703
Selfish,0.02702702702702703
梦的怒放,0.02702702702702703
Stop,0.02702702702702703
Back,0.02702702702702703
silent,0.02702702702702703
Insecure,0.02702702702702703
Nashville,0.02702702702702703
Celebrate,0.02702702702702703
回留,0.02702702702702703
Good,0.02702702702702703
Every,0.02702702702702703
Close,0.02702702702702703
Eyes,0.02702702702702703
Kid,0.02702702702702703
broken,0.02702702702702703
Lose,0.02702702702702703
Far,0.02702702702702703
Away,0.02702702702702703
Dance,0.02702702702702703
Blind,0.02702702702702703
Name,0.02702702702702703
see,0.02702702702702703
tomorrow,0.02702702702702703
Crying,0.02702702702702703
Chapel,0.02702702702702703
Mean,0.02702702702702703
Kono,0.02702702702702703
Sekai,0.02702702702702703
Ni,0.02702702702702703
Umareta,0.02702702702702703
Wake,0.02702702702702703
Holy,0.02702702702702703
Speechless,0.02702702702702703
Snooze,0.02702702702702703
Know,0.02702702702702703
忘了美丽,0.02702702702702703
Leave,0.02702702702702703
简单最浪漫,0.02702702702702703
没啥好说,0.02702702702702703
La,0.02702702702702703
Rome,0.02702702702702703
Little,0.02702702702702703
